numero;nome_urna;estado_uf;partido;federacao;cargo;situacao
20147;PROFESSORA FÁTIMA MONTENEGRO;DF;PSC;Nenhuma;Deputado Distrital;Deferido
20022;SARGENTO EVERALDO;DF;PSC;Nenhuma;Deputado Distrital;Deferido
20120;RICARDO TOBÉ;DF;PSC;Nenhuma;Deputado Distrital;Deferido
20391;ADEILTON BRAZ;DF;PSC;Nenhuma;Deputado Distrital;Deferido
36321;JOAO PAULO;DF;AGIR;Nenhuma;Deputado Distrital;Deferido
36180;ELISANGELA ALMEIDA;DF;AGIR;Nenhuma;Deputado Distrital;Deferido
36444;ARAÚJO;DF;AGIR;Nenhuma;Deputado Distrital;Deferido
36360;CRIS SANTOS;DF;AGIR;Nenhuma;Deputado Distrital;Deferido
14000;ROBSON O PERNAMBUCO;DF;PTB;Nenhuma;Deputado Distrital;Deferido
14189;RUBÃO;DF;PTB;Nenhuma;Deputado Distrital;Deferido
55321;DR LUCIMIR;DF;PSD;Nenhuma;Deputado Distrital;Deferido
55789;PASTOR HENRIQUE;DF;PSD;Nenhuma;Deputado Distrital;Deferido
55123;CLAUDIO ABRANTES;DF;PSD;Nenhuma;Deputado Distrital;Deferido
15333;CIRENE INÁCIO;DF;MDB;Nenhuma;Deputado Distrital;Deferido
15151;FILIPPELLI;DF;MDB;Nenhuma;Deputado Distrital;Deferido
15022;LESLIE SOUZA;DF;MDB;Nenhuma;Deputado Distrital;Deferido
77777;ALEXANDRE LIRA;DF;SOLIDARIEDADE;Nenhuma;Deputado Distrital;Deferido
77277;SILVESTRE ARAÚJO;DF;SOLIDARIEDADE;Nenhuma;Deputado Distrital;Deferido
77745;LACI SILVA;DF;SOLIDARIEDADE;Nenhuma;Deputado Distrital;Deferido
77373;TUANY BITERNCOURT;DF;SOLIDARIEDADE;Nenhuma;Deputado Distrital;Deferido
18123;MÁRCIO PRADO;DF;REDE;Federação PSOL REDE;Deputado Distrital;Deferido
50180;LUDMILA SUAID;DF;PSOL;Federação PSOL REDE;Deputado Distrital;Deferido
18888;RAUL NETO;DF;REDE;Federação PSOL REDE;Deputado Distrital;Deferido
50016;JULIANA DE FREITAS;DF;PSOL;Federação PSOL REDE;Deputado Distrital;Deferido
50100;MAX MACIEL;DF;PSOL;Federação PSOL REDE;Deputado Distrital;Deferido
50456;ILDEU NERY;DF;PSOL;Federação PSOL REDE;Deputado Distrital;Deferido
19007;FÁBIO MULLER;DF;PODE;Nenhuma;Deputado Distrital;Deferido
19020;XITÃO FERREIRA;DF;PODE;Nenhuma;Deputado Distrital;Deferido
11777;MARCELO AGUIAR;DF;PP;Nenhuma;Deputado Distrital;Deferido
